date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:33:21	21729/21729	---M--	200	added ('OK')	image/jpeg	etag:%22eccc3e428dd4fa4340eb511bd4092ac9:1438785240%22	http://media.blizzard.com/wow/legion-6a153ad2/images/artifact-shaohao-1-thumb.jpg	C:/Users/Niki/Desktop/legion/legion/media.blizzard.com/wow/legion-6a153ad2/images/artifact-shaohao-1-thumb.jpg	(from http://eu.battle.net/wow/en/legion/)
18:33:29	286172/286172	---M--	200	added ('OK')	image/jpeg	etag:%2281135f14633b5e3db006510c6abed153:1438785239%22	http://media.blizzard.com/wow/legion-6a153ad2/images/artifact-antonidas-3.jpg	C:/Users/Niki/Desktop/legion/legion/media.blizzard.com/wow/legion-6a153ad2/images/artifact-antonidas-3.jpg	(from http://eu.battle.net/wow/en/legion/)
18:33:33	22561/22561	---M--	200	added ('OK')	image/jpeg	etag:%228c1492a0c0214fb29a183c054e2959fe:1438785240%22	http://media.blizzard.com/wow/legion-6a153ad2/images/artifact-shaohao-2-thumb.jpg	C:/Users/Niki/Desktop/legion/legion/media.blizzard.com/wow/legion-6a153ad2/images/artifact-shaohao-2-thumb.jpg	(from http://eu.battle.net/wow/en/legion/)
18:33:43	240438/240438	---M--	200	added ('OK')	image/jpeg	etag:%2212937de532d43296146d6765963ae3b1:1438785240%22	http://media.blizzard.com/wow/legion-6a153ad2/images/artifact-shaohao-1.jpg	C:/Users/Niki/Desktop/legion/legion/media.blizzard.com/wow/legion-6a153ad2/images/artifact-shaohao-1.jpg	(from http://eu.battle.net/wow/en/legion/)
18:33:44	305251/305251	---M--	200	added ('OK')	image/png	etag:%222fa5a02157796b1e2917035f9b4056cb:1438785250%22	http://media.blizzard.com/wow/legion-6a153ad2/images/shaohao-compact.png	C:/Users/Niki/Desktop/legion/legion/media.blizzard.com/wow/legion-6a153ad2/images/shaohao-compact.png	(from http://eu.battle.net/wow/en/legion/)
18:33:47	20847/20847	---M--	200	added ('OK')	image/jpeg	etag:%22d05950725a22f283ec850098fdc422f7:1438785240%22	http://media.blizzard.com/wow/legion-6a153ad2/images/artifact-shaohao-3-thumb.jpg	C:/Users/Niki/Desktop/legion/legion/media.blizzard.com/wow/legion-6a153ad2/images/artifact-shaohao-3-thumb.jpg	(from http://eu.battle.net/wow/en/legion/)
18:34:01	244289/244289	---M--	200	added ('OK')	image/jpeg	etag:%221555ccf5ff274946b44f5f498a343474:1438785240%22	http://media.blizzard.com/wow/legion-6a153ad2/images/artifact-shaohao-2.jpg	C:/Users/Niki/Desktop/legion/legion/media.blizzard.com/wow/legion-6a153ad2/images/artifact-shaohao-2.jpg	(from http://eu.battle.net/wow/en/legion/)
18:34:04	20401/20401	---M--	200	added ('OK')	image/jpeg	etag:%22db355a50c2b2224c90e4c4a9fb8f7140:1438785240%22	http://media.blizzard.com/wow/legion-6a153ad2/images/artifact-windrunner-1-thumb.jpg	C:/Users/Niki/Desktop/legion/legion/media.blizzard.com/wow/legion-6a153ad2/images/artifact-windrunner-1-thumb.jpg	(from http://eu.battle.net/wow/en/legion/)
18:34:12	173618/173618	---M--	200	added ('OK')	image/png	etag:%2224a21657e4a70f5f613759f97020d416:1438785251%22	http://media.blizzard.com/wow/legion-6a153ad2/images/windrunner-compact.png	C:/Users/Niki/Desktop/legion/legion/media.blizzard.com/wow/legion-6a153ad2/images/windrunner-compact.png	(from http://eu.battle.net/wow/en/legion/)
18:34:13	248959/248959	---M--	200	added ('OK')	image/jpeg	etag:%22162ab1be135601b780c3465fde9df28a:1438785240%22	http://media.blizzard.com/wow/legion-6a153ad2/images/artifact-shaohao-3.jpg	C:/Users/Niki/Desktop/legion/legion/media.blizzard.com/wow/legion-6a153ad2/images/artifact-shaohao-3.jpg	(from http://eu.battle.net/wow/en/legion/)
